DATE,CAMPAIGN_ID,COUNTRY_ID,SPEND,IMPRESSIONS,CLICKS
2022-01-23,15589107345,2784,0.00,9,0
2023-02-05,16517320743,2250,136.33,89342,216
2023-01-28,17335759645,2032,4.26,6367,4
2022-01-14,15589107348,2442,0.08,97,0
2023-02-04,9645746542,2344,11.12,316,5
2022-05-26,10586966766,2246,1.22,94,1
2022-08-01,11698174219,2340,0.14,107,2
2022-04-03,9656161861,2756,15.74,345,4
2022-10-15,9645746542,2414,0.00,122,0
2022-03-06,14720659140,2036,692.48,41349,330
2022-07-23,16107460064,2528,66.17,17051,31
2022-11-14,9731196168,2372,0.78,121,1
2022-09-12,1012855394,2076,5.93,377,21
2022-10-01,16705812708,2276,259.70,83162,340
2022-07-10,11698174219,2804,7.14,1799,38
2022-09-16,11698174219,2124,0.00,7,0
2022-01-20,1730637502,2156,3.79,4129,11
2022-07-10,10586966769,2392,0.00,26,0
2022-11-29,16705812708,2554,12.03,4522,15
2022-09-26,16107460064,2276,312.47,55423,90
2022-07-12,16985277335,2858,3.79,4775,75
2022-09-13,1012855394,2012,0.03,10,1
2022-03-10,9611555928,2682,12.36,27,1
2022-07-12,1012855394,2860,0.00,3,0
2022-04-28,9716491608,2470,1.11,70,1
2022-07-21,11698174219,2586,0.34,479,4
2023-03-16,16193384549,2756,2.11,359,1
2022-01-06,8687082220,2036,20.75,172,13
2022-07-03,16985277335,2558,12.22,10861,121
2022-03-03,1012855394,2254,0.00,2,0
2022-01-16,15589107333,2492,0.01,2,0
2022-02-17,16193384549,2208,1.00,1430,4
2022-02-08,8686907662,2840,139.25,733,39
2022-03-30,1012855394,2703,0.00,9,0
2023-01-19,17335759645,2620,9.26,2839,4
2022-10-16,1012855394,2660,0.00,2,0
2022-09-15,16705812708,2056,20.03,10832,26
2022-07-08,1012855394,2688,0.00,15,0
2022-11-30,19023561017,2360,18.14,19004,33
2022-05-04,9611555925,2578,13.64,19,2
2022-11-24,16193384549,2246,16.92,967,4
2022-03-17,16141748399,2032,451.50,425422,1359
2022-08-03,16096245591,2340,6.02,10205,16
2022-02-16,1012855394,2818,0.00,19,0
2022-03-30,9611555898,2048,0.07,3,1
2022-04-30,16107460064,2040,5.48,398,3
2022-02-25,9968096296,2372,37.60,15412,55
2022-04-14,16107460064,2372,15.19,403,4
2022-10-15,18598835899,2784,0.03,180,1
2022-01-07,15589107339,2124,30.72,4112,18
2022-08-14,16101107713,2410,9.36,3776,7
2022-10-22,16101107713,2352,12.06,1163,5
2023-01-09,1012855394,2900,0.00,2,0
2023-02-26,16193384549,2036,78.23,2281,25
2022-10-29,11698174219,2276,0.23,9,1
2023-02-22,9611555895,2208,0.81,7,3
2023-02-22,16529545136,2032,11.06,28776,64
2022-08-09,9611555889,2208,9.00,9,4
2023-01-26,16107460064,2036,35.48,4830,15
2023-03-13,9645746542,2056,6.62,1202,6
2022-02-10,14720659140,2410,236.18,275742,190
2022-08-07,16101107713,2246,35.49,3811,6
2023-02-10,10586966769,2056,2.38,427,1
2022-05-18,9645632783,2554,1.93,517,1
2022-12-27,19336354033,2036,481.38,38080,97
2022-09-26,1012855394,2705,0.01,5,1
2022-08-05,9985023596,2344,0.77,41,1
2022-07-16,1012855394,2070,0.01,7,1
2022-04-19,9645746542,2352,2.36,44,1
2022-07-07,16985277335,2862,5.86,8322,72
2023-01-17,9611555889,2578,0.89,27,1
2022-05-22,16193384549,2442,5.12,1499,4
2022-02-18,9968096296,2840,971.82,58703,502
2023-01-13,19329701910,2124,9.45,670,1
2022-07-01,1012855394,2480,0.01,3,1
2022-06-16,17335759645,2440,16.09,10314,15
2022-04-18,16193384549,2752,42.37,1865,5
2022-05-25,16193384549,2702,186.91,42881,74
2023-03-06,17335759645,2616,22.49,11334,17
2022-05-05,9985023596,2048,0.00,2,0
2022-05-16,16705812708,2276,1323.78,654636,2014
2022-01-25,9611555892,2756,0.16,19,1
2022-09-19,16193384549,2056,9.97,381,4
2022-03-29,1012855394,2630,0.01,37,1
2022-12-18,1012855394,2152,0.16,85,5
2023-03-25,1012855394,2188,0.22,12,1
2022-11-26,9611555928,2682,0.08,9,1
2022-09-14,16529545136,2458,72.28,129406,635
2022-07-27,16705812708,2352,1.37,1574,3
2023-02-11,9816569721,2124,22.52,1175,8
2022-11-14,16985277335,2591,3.29,5134,36
2023-03-28,17335780291,2702,2.07,316,1
2022-11-05,16529545136,2348,17.51,25231,35
2022-05-27,1012855394,2170,0.58,126,5
2022-09-21,9611555925,2752,0.74,17,1
2022-02-25,14720659140,2246,56.26,6531,15
2022-01-18,15590946704,2643,256.70,101040,264
2022-04-16,16705812708,2056,25.46,8204,24
2022-12-07,16096245591,2152,7.72,2647,8
2022-08-29,16141721408,2826,73.25,6040,64
2022-05-08,8689311018,2554,1.32,19,2
2022-09-23,1012855394,2586,1.12,10,1
2022-02-13,16097854484,2076,1.82,43,1
2023-01-16,19329701910,2191,0.49,51,1
2023-03-08,9985023596,2410,0.11,119,1
2023-01-11,1012855394,2196,0.00,2,0
2022-03-21,16141748399,2858,17.12,15664,123
2022-08-30,11698174219,2372,0.00,2,0
2022-05-07,9656161861,2442,2.03,49,1
2022-01-24,15589107339,2528,0.42,138,1
2022-11-01,11698174219,2203,1.44,156,4
2022-07-02,17298592738,2756,201.00,12510,80
2022-06-05,1012855394,2760,0.00,2,0
2022-04-08,9716491602,2036,18.32,816,7
2022-12-15,16101107713,2048,92.90,31130,83
2022-02-13,9968096296,2826,820.08,173538,638
2022-11-20,16529545136,2032,5.98,20487,35
2023-01-16,16101107713,2784,38.01,20759,43
2022-10-23,18597674638,2392,0.00,3,0
2022-01-22,9968096296,2554,29.75,4922,26
2023-02-06,16141721408,2048,10.62,33451,133
2022-06-14,16101107713,2470,8.77,9733,23
2022-06-07,9611555928,2682,0.00,19,0
2022-07-26,9716491608,2250,14.99,621,1
2023-02-06,9716491602,2554,37.82,692,8
2022-06-25,11698174219,2887,0.00,3,0
2022-06-09,9731196168,2554,2.21,73,1
2022-12-03,9611555898,2724,4.71,201,15
2022-10-28,16193384549,2554,19.99,563,7
2022-07-30,16193384549,2702,14.63,1392,7
2022-05-14,16985277335,2218,40.65,57945,558
2022-06-24,17469280680,2124,46.20,9675,9
2022-01-27,15680671364,2344,9.98,12198,18
2022-09-09,11698174219,2504,0.16,406,5
2022-01-19,15589107336,2528,0.05,7,0
2022-08-16,11698174219,2288,0.00,2,0
2022-07-05,11698174219,2616,25.64,12113,163
2022-08-05,11698174219,2380,0.00,9,0
2022-01-03,15680671364,2410,29.92,23214,22
2022-10-29,1012855394,2051,0.00,27,0
2022-05-01,9716491608,2442,0.00,9,0
2023-01-10,1012855394,2600,0.01,17,1
2022-07-18,16193384549,2682,40.27,9393,34
2022-09-16,8687082220,2372,1.53,29,4
2022-03-28,16463239324,2152,1.91,4318,20
2022-10-25,9816569721,2372,0.00,83,0
2022-10-06,16141721408,2048,3.22,8556,35
2022-12-04,16141721408,2578,9.66,945,8
2022-06-20,17471282151,2276,13.03,1503,4
2022-08-04,16141721408,2784,8.84,6309,56
2022-05-11,9646241456,2372,4.37,607,1
2022-08-29,16096245591,2032,6.58,4891,11
2023-01-06,17335780291,2156,281.19,165323,530
2022-09-03,9611555925,2752,0.03,15,1
2022-11-17,9656161858,2246,41.60,634,7
2023-02-06,9641610945,2208,25.10,1426,6
2022-04-19,9645746542,2048,5.36,80,2
2022-05-31,16985277335,2032,86.19,129538,1332
2022-12-04,9641610945,2578,9.84,1064,3
2022-08-10,9716491608,2634,9.04,542,1
2023-03-06,16193384549,2784,10.21,1302,4
2022-12-28,19316350491,2250,0.79,46,5
2022-11-20,9656161861,2634,0.08,192,1
2022-07-18,8687082220,2372,2.04,31,6
2022-01-22,15588078894,2040,0.08,12,0
2022-03-23,1012855394,2398,0.00,2,0
2022-07-03,9611555928,2276,48.55,405,22
2022-08-20,9611555928,2376,0.00,20,0
2022-08-10,9611555928,2392,0.00,14,0
2022-07-06,1012855394,2894,0.04,2,1
2023-01-30,9645746542,2442,0.00,143,0
2022-12-28,9611555928,2528,0.88,100,1
2022-03-04,16096245591,2484,57.95,5491,50
2022-05-18,16529545136,2604,5.41,3924,21
2023-02-23,15942125913,2076,201.39,268197,2177
2022-05-12,9816569721,2554,2.95,105,1
2022-06-02,16141721408,2528,12.47,4238,24
2022-02-23,1012855394,2116,0.01,2,1
2022-02-08,1012855394,2292,0.00,2,0
2023-02-03,9716491608,2048,1.32,105,1
2022-08-07,10586966769,2414,2.41,22,1
2022-09-29,1012855394,2144,0.00,12,0
2023-02-27,16096245591,2630,0.60,165,0
2023-02-19,9611555928,2376,5.79,27,1
2022-08-12,16517320743,2372,14.83,4401,15
2022-02-25,16134599176,2156,4.17,56,1
2023-02-09,1012855394,2268,0.01,7,1
2023-03-22,1012855394,2792,2.34,124,12
2022-07-26,11698174219,2044,0.00,2,0
2022-08-06,9985023593,2752,3.59,211,1
2022-10-15,9985023596,2414,0.00,3,0
2023-01-27,9611555928,2414,0.00,5,0
2022-02-20,16097854484,2458,1.28,243,1
2022-07-13,1012855394,2736,0.00,7,0
2022-04-17,1012855394,2630,4.12,19,2
2022-09-14,9611555928,2682,4.82,26,1
2022-06-22,9656161861,2380,25.11,845,12
2022-11-25,19016565285,2152,2.07,88,1
2022-07-23,1012855394,2434,0.00,3,0
2023-01-08,16141721408,2036,98.78,13211,81
2022-12-05,1012855394,2688,0.36,27,1
2022-11-17,16141721408,2246,4.82,1200,8
2022-02-16,16141748399,2226,0.00,73,0
2022-10-08,9646241456,2554,11.37,685,6
2022-03-19,9611555898,2682,0.10,19,1
2023-01-27,9985023596,2784,0.00,60,0
2022-03-17,9611555892,2040,7.47,15,4
2022-02-25,1012855394,2188,0.25,22,2
2022-06-23,16985277335,2320,14.35,18112,241
2022-12-21,1012855394,2096,0.01,2,1
2022-10-23,17335759645,2203,21.44,7761,16
2022-07-06,16985277335,2032,58.66,125491,1292
2022-10-21,1012855394,2116,0.00,2,0
2022-09-29,16141721408,2492,0.00,14,0
2022-10-24,16517320743,2250,131.32,61300,151
2022-08-01,1012855394,2356,7.58,736,37
2023-01-27,1012855394,2203,0.44,43,4
2022-04-29,16096245591,2340,9.49,10103,15
2023-03-16,16517320743,2036,164.23,20001,102
2022-12-14,9645746542,2410,1.66,457,1
2022-10-17,18597674638,2784,0.00,2,0
2022-11-21,1012855394,2398,0.00,15,0
2023-02-04,9985023596,2250,38.53,862,8
2022-10-19,10586966769,2634,0.00,3,0
2022-08-06,17335759645,2642,32.92,15868,18
2023-02-04,1012855394,2591,0.00,32,0
2023-02-10,16101107713,2528,68.93,4524,18
2022-05-14,16101107713,2208,143.33,15312,25
2022-10-05,1012855394,2558,0.32,15,1
2022-03-24,10586966769,2056,0.95,60,1
2022-10-08,11654183162,2344,0.03,15,1
2022-02-06,16097854484,2156,0.00,3,0
2022-03-04,16141748399,2604,128.71,306369,1058
2022-04-07,16107460064,2036,28.88,950,4
2022-01-23,15589107351,2250,0.01,31,0
2022-12-28,1012855394,2540,0.00,3,0
2022-10-15,9985023596,2380,0.00,90,0
2022-07-27,1012855394,2032,0.85,121,7
2023-03-10,16096245591,2214,2.01,2542,5
2022-03-15,1012855394,2458,0.49,51,5
2022-12-28,16096245591,2862,4.40,4474,13
2022-06-08,1012855394,2204,0.00,3,0
2022-08-31,16985277335,2188,5.87,9435,85
2022-03-20,16096245591,2188,111.09,84227,123
2022-05-17,9645746542,2056,12.45,364,6
2022-11-30,1012855394,2586,0.62,9,1
2022-10-14,11698174219,2175,0.00,2,0
2022-06-07,9611555898,2056,1.73,24,3
2022-03-02,9641610945,2578,12.00,556,4
2022-04-28,16985478467,2360,60.51,78001,153
2022-08-28,16976496847,2442,3.95,3400,4
2022-03-09,9656161861,2392,0.00,156,0
2022-12-02,9645746542,2376,22.00,2786,8
2022-01-08,1012855394,2191,0.00,54,0
2022-07-18,16193384549,2040,25.32,649,6
2022-07-08,10586966769,2048,0.00,5,0
2022-03-30,9645746542,2250,17.58,498,6
2022-08-07,16141721408,2380,27.43,39906,146
2022-03-29,1012855394,2608,1.59,124,8
2022-09-04,16107460064,2250,118.42,51320,56
2022-07-20,10586966769,2442,0.00,5,0
2022-11-24,1012855394,2630,3.29,29,1
2022-04-08,9645746542,2276,60.52,836,12
2023-02-25,16193384549,2352,2.77,345,1
2023-03-23,9716491608,2470,5.37,54,1
2022-08-11,9611555928,2492,0.00,2,0
2022-12-26,8709347981,2124,66.64,189,11
2022-09-17,17335759645,2440,21.06,8041,13
2023-02-14,9656161861,2492,0.00,2,0
2022-10-20,9611555892,2784,0.00,20,0
2022-12-28,10586966769,2702,0.00,24,0
2022-03-26,16107460064,2528,11.21,267,1
2022-07-07,11698174219,2752,0.00,2,0
2022-06-17,11698174219,2422,0.36,498,6
2022-02-04,15673399839,2372,3.77,3381,11
2022-12-01,18862348236,2352,5.32,4653,4
2022-08-31,9611555889,2578,0.00,3,0
2022-06-29,9985023596,2040,0.00,71,0
2022-09-29,16193384549,2376,9.67,692,9
2022-04-16,16107460064,2752,30.91,857,6
2023-01-16,16096245591,2724,2.01,296,2
2022-10-26,16985277335,2068,9.03,18622,203
2022-01-28,1012855394,2268,0.00,3,0
2022-11-23,11698174219,2158,6.19,24,1
2023-03-16,16779095429,2344,0.42,260,1
2023-04-02,9716491602,2372,43.21,791,13
2022-09-07,16529545136,2348,6.29,15276,30
2022-04-23,1012855394,2076,6.84,325,14
2022-07-04,9611555898,2470,0.00,14,0
2022-01-06,15673399839,2352,0.33,444,1
2022-04-16,9646241456,2554,11.67,575,3
2023-01-18,8689311018,2372,11.19,27,1
2023-02-12,1012855394,2446,0.00,2,0
2022-06-28,11698174219,2540,0.01,53,1
2022-08-28,9646241456,2826,562.05,12442,124
2022-08-25,1012855394,2604,2.71,121,8
2023-03-31,1012855394,2268,0.86,10,2
2022-05-16,1012855394,2218,0.16,32,1
2023-01-10,16107460064,2528,88.27,18880,74
2022-03-22,10586966766,2752,0.00,51,0
2022-08-17,11654183162,2048,0.03,20,1
2022-01-02,15589107336,2414,0.00,2,0
2022-01-27,9656161861,2048,0.00,228,0
2022-01-05,9822852159,2840,335.58,14919,71
2022-01-06,9716491608,2056,0.00,138,0
2022-03-22,16141721408,2056,32.25,20898,43
2022-09-13,11698174219,2458,0.07,466,3
2023-03-03,9656161858,2246,29.75,1377,10
2022-10-16,18592041816,2196,0.00,3,0
2022-01-23,9716491608,2380,0.82,156,1
2022-04-29,1012855394,2231,0.00,2,0
2022-07-05,17335759645,2604,22.03,23749,68
2022-02-27,11038204927,2276,1443.47,335719,908
2022-11-22,9611555892,2724,1.40,78,5
2022-08-21,11698174219,2422,0.03,24,1
2022-05-18,16529545136,2792,13.49,29718,95
2022-10-20,1012855394,2788,0.00,2,0
2022-10-31,16107460064,2056,36.81,10494,23
2022-09-01,16529545136,2620,2.13,4719,6
2022-09-20,1012855394,2170,1.99,202,11
2022-04-11,16517320743,2724,207.15,60748,181
2023-01-28,19072463248,2152,0.27,58,2
2022-05-31,16985277335,2600,5.49,7057,86
2022-03-06,9645746542,2380,20.25,1117,10
2022-02-04,16090441168,2620,14.60,7857,21
2023-02-11,16096245591,2600,0.58,673,1
2022-03-06,9968096296,2276,47.33,17372,57
2023-02-13,9641610945,2578,34.33,1132,15
2022-05-26,16985277335,2188,11.20,12558,122
2022-12-29,9646241456,2036,38.48,726,8
2022-09-14,1012855394,2608,4.80,182,12
2022-12-01,16985277335,2340,2.95,5702,57
2022-08-10,16517320743,2442,0.56,513,2
2022-12-04,16779095429,2158,41.90,13933,209
2022-05-28,16141721408,2470,10.83,16267,71
2022-01-19,15589107327,2344,8.92,3240,6
2022-12-18,16101107713,2124,839.02,50726,214
2022-10-05,11698174219,2458,0.81,1233,21
2023-02-26,17335759645,2348,23.69,6892,9
2022-06-04,1012855394,2222,0.00,5,0
2022-07-24,9656161858,2208,39.81,961,12
2022-05-30,1012855394,2484,1.78,228,13
2023-02-11,1012855394,2498,0.21,10,1
2022-10-03,10586966769,2414,0.00,32,0
2022-09-25,11698174219,2558,0.08,41,1
2022-11-27,9641610945,2752,56.16,2547,11
2022-12-07,9656161861,2442,2.32,139,1
2022-10-14,16141721408,2380,64.91,114759,407
2023-01-20,1012855394,2586,0.00,15,0
2022-07-01,10586966766,2208,7.07,68,1
2022-05-14,16529545136,2458,99.20,61734,684
2022-01-14,15589107351,2702,0.00,2,0
2022-09-06,9985023596,2634,0.00,7,0
2022-06-02,16705812708,2040,23.65,9957,29
2022-01-31,11510088205,2372,13.71,731,3
2022-08-14,11654183162,2352,0.16,87,3
2022-10-18,9611555928,2784,1.37,24,1
2022-02-20,16101107713,2040,5.56,3082,9
2022-05-11,16193384549,2380,70.07,22785,31
2022-09-17,11698174219,2540,0.51,10,1
2022-08-24,11698174219,2616,16.01,3590,54
2022-03-09,9716491605,2208,9.84,274,4
2022-08-29,1012855394,2233,10.70,17,1
2022-09-17,16682907088,2124,92.57,21423,85
2022-03-04,1012855394,2566,0.08,12,1
2022-10-25,16334770689,2840,1503.82,100419,491
2022-07-10,16135846000,2076,84.57,26097,127
2022-04-30,16779095429,2158,38.07,7223,168
2022-10-03,9611555889,2208,0.59,19,1
2022-01-08,2065744516,2300,8.45,5178,18
2023-01-10,1012855394,2398,0.00,5,0
2022-09-06,9645632783,2124,84.33,4527,18
2022-10-08,1012855394,2422,0.00,17,0
2022-01-11,15584612537,2124,33.88,1166,4
2023-03-18,16529545136,2300,5.62,6375,18
2022-08-28,11698174219,2016,0.00,2,0
2022-11-21,17335759645,2703,4.83,801,3
2022-10-16,16193384549,2756,12.69,253,4
2022-06-23,1012855394,2630,0.16,9,1
2022-06-25,16096245591,2214,5.26,5566,16
2022-01-10,15588495774,2380,7.85,2026,12
2022-08-07,16141721408,2724,73.05,86807,343
2022-11-26,9716491608,2380,9.74,301,3
2022-07-06,16705812708,2246,38.58,23530,64
2022-01-20,9731196168,2124,0.00,243,0
2022-01-01,15673399839,2048,9.72,9770,21
2023-02-16,1012855394,2705,0.37,5,1
2023-01-09,16517320743,2578,25.00,2933,11
2023-01-07,19329701910,2428,0.01,7,0
