DATE,CAMPAIGN_ID,COUNTRY_ID,STATE_ID,SPEND,IMPRESSIONS,CLICKS
2022-11-15,17335759645,2458,20744,18.10,5692,2
2023-03-22,17344179530,2840,21173,0.73,372,0
2022-12-02,8687082217,2840,21167,106.30,24,1
2022-10-12,17197475739,2840,21178,458.50,333,5
2022-10-21,17344179530,2840,21166,11.10,228,1
2022-12-02,16529545136,2356,21337,31.82,11256,95
2023-03-23,16976496847,2040,20047,96.47,1675,4
2022-10-13,10586966769,2276,20234,18.22,97,1
2023-01-15,16529545136,2356,21268,4.09,1460,5
2022-10-05,9816566817,2840,21146,0.00,27,0
2023-04-02,16705812708,2840,21169,66.96,1491,11
2022-12-05,9710540067,2840,21141,0.00,17,0
2023-02-04,16334770689,2840,21158,243.12,785,5
2023-03-02,9646241456,2036,20035,280.28,1457,14
2022-10-21,16129801833,2840,21150,821.40,4641,13
2023-02-14,1012855394,2076,20103,0.00,2,0
2022-10-16,16705812708,2840,21151,66.76,864,4
2022-10-04,9816566817,2840,21179,0.00,3,0
2023-04-01,9647872445,2840,21144,15.89,216,1
2022-12-10,16101107713,2276,20229,458.05,5027,20
2023-01-31,9731536273,2840,21178,107.12,330,4
2023-03-06,16529545136,2356,21337,98.25,24829,254
2022-12-09,17197475739,2840,21150,333.68,224,2
2023-02-21,1030237413,2840,21174,35.48,27,1
2022-11-02,17298592738,2040,20042,8.14,292,1
2023-03-27,16129801833,2840,21173,605.43,2914,13
2022-10-12,16705812708,2276,20227,22.19,930,1
2023-02-23,8687082217,2840,21151,0.00,3,0
2022-12-15,16193384549,2040,20042,0.19,112,0
2022-10-08,9816566817,2840,21165,0.00,14,0
2023-03-24,19097200206,2484,20712,6.86,298,1
2023-01-31,1030237413,2840,21146,360.42,141,4
2022-12-12,16096245591,2484,20713,18.35,384,1
2023-03-15,19770443735,2840,21162,0.00,19,0
2022-10-03,8686907662,2840,21178,0.00,12,0
2022-12-07,19023347656,2076,20093,0.00,3,0
2023-04-01,8687082217,2840,21136,0.00,10,0
2023-04-05,17298592738,2040,20050,42.23,1171,5
2023-01-05,1030237413,2840,21176,365.08,221,4
2023-03-22,8689311018,2036,20038,47.09,5,2
2022-12-19,9716491608,2276,20231,42.60,151,2
2023-03-28,9646241456,2036,20036,0.00,24,0
2022-10-27,18595480449,2276,20231,0.00,29,0
2022-10-05,16334770689,2840,21179,29.73,666,1
2022-10-04,1012855394,2356,20462,8.09,75,4
2022-12-11,9731536273,2840,21135,0.00,51,0
2022-11-25,19023561017,2076,20099,0.00,36,0
2023-01-23,16985277335,2484,20720,30.43,3125,58
2023-01-05,8686907662,2840,21172,244.52,17,1
2022-10-04,11698174219,2458,20743,0.00,2,0
2023-03-10,16529545136,2076,21229,13.43,728,3
2022-11-05,9710540067,2840,21150,196.57,369,5
2023-01-22,19324153619,2840,21148,0.00,22,0
2022-11-23,16705812708,2840,21182,58.32,1159,4
2022-10-26,18597674878,2840,21153,131.37,126,1
2022-12-15,9647872445,2840,21137,175.46,911,7
2023-02-04,9647872445,2840,21162,192.61,201,2
2023-03-10,16985277335,2840,21143,5.56,134,1
2023-03-31,8686907662,2840,21171,93.42,26,4
2022-10-29,1030237413,2840,21159,0.00,29,0
2023-03-01,10586966769,2040,20046,0.00,3,0
2022-12-21,9647872445,2840,21132,80.82,27,1
2023-03-25,10586966769,2276,20238,0.00,15,0
2022-12-28,16096245591,2484,20703,45.44,2106,5
2023-01-14,17335759645,2458,20748,40.25,4772,4
2022-10-19,10586966769,2276,20232,0.00,15,0
2023-03-07,9716491608,2040,20049,41.64,10,1
