ID,COUNTRY_CODE,NAME,LOCATION_TYPE
9130856,MX,79811,Postal Code
1010539,NL,Aalsmeer,City
9143368,MX,67066,Postal Code
9108967,FR,76100,Postal Code
9129682,MX,38524,Postal Code
9000156,CA,E4E,Postal Code
1005522,ES,Urnieta,City
9007299,US,19121,Postal Code
9125114,ID,Nagawutung,District
9108624,FR,34360,Postal Code
9055940,FR,67140,Postal Code
9174017,JP,857-2532,Postal Code
9118735,NZ,8082,Postal Code
20467,IN,Puducherry,Union Territory
9018780,US,53119,Postal Code
9159141,JP,501-2131,Postal Code
20045,AT,Upper Austria,State
9146251,IN,416201,Postal Code
9054894,FR,01100,Postal Code
1005848,FR,Chatillon-sur-Seine,City
9005210,US,13335,Postal Code
1008325,IT,Cesena,City
9051148,NL,Sint Nicolaasga,City
9012547,US,35206,Postal Code
9051208,NL,Vroomshoop,City
9162747,JP,041-1122,Postal Code
9018237,US,51053,Postal Code
1001850,CA,Tees,City
9064728,NL,5221,Postal Code
9135766,MX,31894,Postal Code
9101636,BR,68046,Postal Code
9072297,AU,2354,Postal Code
9106845,HU,2145,Postal Code
1023198,US,Niagara University,City
9028159,US,78414,Postal Code
9113108,US,Ohio's 7th Congressional District 2022 redistricting,Congressional District
9168102,JP,988-0167,Postal Code
9063783,NL,2977,Postal Code
9137180,MX,82306,Postal Code
9125285,ID,Kaliwungu,District
9302239,IN,281403,Postal Code
9123939,ID,North Tiworo,District
9018404,US,52003,Postal Code
9143494,MX,34726,Postal Code
9021860,US,61053,Postal Code
9133182,MX,92017,Postal Code
9014253,US,40272,Postal Code
9136866,MX,82817,Postal Code
9170900,JP,303-0042,Postal Code
9015194,US,43901,Postal Code
9031391,US,92256,Postal Code
9180248,IN,795145,Postal Code
9076096,PE,Chao,City
9135561,MX,79647,Postal Code
9021012,US,58710,Postal Code
9118555,NZ,4979,Postal Code
1004187,DE,Hallerndorf,City
9154094,IN,384160,Postal Code
9167522,JP,963-3522,Postal Code
9145455,IN,328041,Postal Code
9049642,FR,Halluin,City
9033985,US,99720,Postal Code
9051690,US,Canyon Lake,City
9120861,ID,57293,Postal Code
9044176,DE,32756,Postal Code
9076564,RS,Ruma,City
20553,IT,Province of Forli-Cesena,Province
1020050,US,Rogers,City
1030229,UA,Bobrovytsya,City
9015037,US,43420,Postal Code
9020663,US,57747,Postal Code
9056833,TR,Merzifon,City
1018386,US,Rutland,Neighborhood
1022227,US,Little York,Neighborhood
9144529,IN,210425,Postal Code
9172672,JP,384-0704,Postal Code
9147570,IN,533339,Postal Code
1002909,CH,Murten,City
9033569,US,98604,Postal Code
9129388,US,New York's 6th Congressional District 2022 redistricting,Congressional District
9147800,IN,573121,Postal Code
9063659,NL,7076,Postal Code
9002798,US,04739,Postal Code
1018883,US,Harrison,City
9068126,DE,30459,Postal Code
9007960,US,21557,Postal Code
9073754,ZA,New Germany,City
9023678,US,65610,Postal Code
9021726,US,60621,Postal Code
1006490,GB,Aylesbury,City
9151267,IN,843313,Postal Code
9076100,SA,Labkhah,City
9046556,GB,L20,Postal Code
9012150,US,33772,Postal Code
9300679,IN,321022,Postal Code
9054445,US,62866,Postal Code
9143955,IN,134202,Postal Code
9117192,DE,34508,Postal Code
9140241,MX,78886,Postal Code
9107869,HU,3052,Postal Code
9065447,MY,Bandar Uda Utama,City Region
9007254,US,19056,Postal Code
9011549,US,32218,Postal Code
9045617,GB,BS39,Postal Code
9162471,JP,685-0021,Postal Code
1008112,IT,Grumello del Monte,City
1014896,US,Bear,City
1009565,JP,Kobe,City
9123072,ID,Muaro Bungo,District
9029351,US,82834,Postal Code
9053251,JP,Aisai,City
1017476,US,Frontenac,City
9148420,IN,621001,Postal Code
9300010,IN,Ranjnoli,City
9135745,MX,61764,Postal Code
9017134,US,48670,Postal Code
9067545,PL,Za Cukrownia,Neighborhood
9126720,ID,Kundur Utara,District
9019394,US,54867,Postal Code
9015389,US,44276,Postal Code
9113440,DE,94249,Postal Code
9006035,US,15451,Postal Code
9160266,JP,960-1633,Postal Code
1010479,NL,Drunen,City
9044985,GB,DA2,Postal Code
9139518,MX,33539,Postal Code
20370,GR,Karditsa,Region
9150620,IN,786181,Postal Code
9026470,US,73932,Postal Code
20480,IE,Galway,County
9070035,ME,Berane Municipality,Municipality
1019738,US,Brownsdale,City
9001784,US,01462,Postal Code
9116420,DE,Prignitz,District
9123619,ID,Kemuning,District
9030576,US,87734,Postal Code
1023119,US,Manorville,City
9179253,IN,212108,Postal Code
9154710,IN,630309,Postal Code
9153502,IN,785602,Postal Code
9030144,US,85360,Postal Code
9105733,HU,3412,Postal Code
9026992,US,75450,Postal Code
1017543,US,Lenora,City
9168585,JP,633-1212,Postal Code
9156744,JP,754-1315,Postal Code
9124584,ID,Ampibabo,District
9120146,ID,42185,Postal Code
9301862,IN,756084,Postal Code
9106424,HU,3335,Postal Code
9126322,ID,Mayang,District
9121989,NZ,Howick,Neighborhood
9063223,NL,Maassluis,Municipality
1022024,US,Belle Mead,Neighborhood
9101575,BR,65052,Postal Code
9162303,JP,501-0811,Postal Code
9109420,FR,59390,Postal Code
9000306,CA,G5R,Postal Code
9041081,AR,El Calafate,City
9155549,JP,755-0151,Postal Code
9146548,IN,453001,Postal Code
9156565,JP,311-1722,Postal Code
9031041,US,90405,Postal Code
9159645,JP,322-0252,Postal Code
9178999,JP,378-0414,Postal Code
9130090,MX,43015,Postal Code
1001963,CA,Summerland,City
9160617,JP,853-0505,Postal Code
9155577,JP,091-0011,Postal Code
9133402,MX,37844,Postal Code
9178238,JP,859-2411,Postal Code
9051232,NL,Wilp,City
1021653,US,Exeter,City
21067,TR,Hatay,Province
9070214,YE,Ad Dali' Governorate,Governorate
9013607,US,38352,Postal Code
9124102,ID,Manokwari Utara,District
9151338,IN,847104,Postal Code
9137317,MX,75659,Postal Code
1018340,US,North Reading,City
9178726,JP,904-2304,Postal Code
9302603,IN,625706,Postal Code
9166167,JP,511-0122,Postal Code
9118746,NZ,7683,Postal Code
1030918,AT,Leogang,City
9109700,FR,24620,Postal Code
9060423,US,Hilltop,Neighborhood
9054082,US,48343,Postal Code
9180086,IN,752025,Postal Code
1018208,US,Florence,Neighborhood
9154250,IN,458389,Postal Code
1011932,RU,Ukhta,City
9128339,ID,Mranggen,District
9179197,IN,175048,Postal Code
1006609,GB,Caterham,City
9141432,MX,73724,Postal Code
9158066,JP,068-0133,Postal Code
9131931,MX,76646,Postal Code
1024150,US,Cashion,City
9026284,US,73165,Postal Code
9300433,IN,613704,Postal Code
9029314,US,82524,Postal Code
1000058,AR,San Antonio de Padua,City
9174845,JP,074-0742,Postal Code
9152937,IN,609805,Postal Code
9139384,MX,63707,Postal Code
9013423,US,37866,Postal Code
9153445,IN,768049,Postal Code
9178818,JP,071-8157,Postal Code
9126669,ID,Sorong,District
9138294,MX,92618,Postal Code
9045266,GB,SA72,Postal Code
1007450,GB,Penarth,City
9018267,US,51244,Postal Code
9073276,PE,Manu Province,Province
9076741,SA,Al Mahjar,District
9298558,IN,Narkatari,City
9110683,FR,82110,Postal Code
9299507,IN,Thiruvaniyoor,City
9068835,FR,Granges-sur-Lot,City
9051876,US,East Norriton,City
9018422,US,52048,Postal Code
9141203,MX,76837,Postal Code
9073111,NO,Sande Municipality,Municipality
1001342,BE,Enghien,City
9149213,IN,680310,Postal Code
9110166,FR,90400,Postal Code
1001506,BR,Maceio,City
9064367,NL,3286,Postal Code
1015742,US,Delhi,City
9005655,US,14589,Postal Code
9044687,DE,53604,Postal Code
9032811,US,96816,Postal Code
9000731,CA,K9V,Postal Code
9138512,MX,27914,Postal Code
9119682,ID,45454,Postal Code
1014865,US,Washington Depot,Neighborhood
9062765,CZ,725 27,Postal Code
9125886,ID,Neney,District
9144993,IN,263680,Postal Code
9157405,JP,509-6362,Postal Code
21041,TH,Nakhon Si Thammarat,Province
9153412,IN,762022,Postal Code
9144237,IN,174302,Postal Code
9016014,US,45874,Postal Code
9057243,US,New London County,County
9155043,IN,805110,Postal Code
9126233,ID,Bojong,District
1024207,US,Geronimo,City
1008147,IT,Castenaso,City
1016966,US,Winnetka,City
1022329,US,Parsippany-Troy Hills,City
9020077,US,56315,Postal Code
9167644,JP,399-3304,Postal Code
1032257,HU,Berente,City
9002722,US,04553,Postal Code
9147313,IN,517235,Postal Code
9018288,US,51355,Postal Code
9151814,IN,262201,Postal Code
1006890,GB,Long Stratton,City
9173793,JP,718-0313,Postal Code
9156044,JP,848-0015,Postal Code
9136149,MX,42660,Postal Code
9160173,JP,789-1701,Postal Code
9154444,IN,524312,Postal Code
9074946,RU,Polysayevo,City
9157635,JP,563-0251,Postal Code
9138296,MX,81530,Postal Code
9109930,FR,16590,Postal Code
9142833,MX,92048,Postal Code
